2025-09-24 08:40:37,286 | INFO | root | 🚀 Aplicación iniciada
2025-09-24 08:40:37,314 | INFO | root | ✅ Base de datos inicializada
2025-09-24 08:40:37,826 | INFO | root | ✅ Modelo YOLO cargado exitosamente
2025-09-24 09:08:00,189 | INFO | root | 🚀 Aplicación iniciada
2025-09-24 09:08:00,197 | INFO | root | ✅ Base de datos inicializada
2025-09-24 09:08:00,596 | INFO | root | ✅ Modelo YOLO cargado exitosamente
2025-09-24 09:48:06,637 | INFO | root | 🚀 Aplicación iniciada
2025-09-24 09:48:06,673 | INFO | root | ✅ Base de datos inicializada
2025-09-24 09:48:07,320 | INFO | root | ✅ Modelo YOLO cargado exitosamente
2025-09-24 09:51:51,771 | INFO | root | 🚀 Aplicación iniciada
2025-09-24 09:51:52,121 | INFO | root | ✅ Modelo YOLO cargado exitosamente
2025-09-24 09:51:52,308 | INFO | root | ✅ Base de datos inicializada
2025-09-24 10:03:27,760 | INFO | root | 🚀 Aplicación iniciada
2025-09-24 10:03:28,025 | INFO | root | ✅ Modelo YOLO cargado exitosamente
2025-09-24 10:03:28,058 | INFO | root | ✅ Base de datos inicializada
2025-09-24 10:06:48,453 | INFO | root | 🚀 Aplicación iniciada
2025-09-24 10:06:48,682 | INFO | root | ✅ Modelo YOLO cargado exitosamente
2025-09-24 10:33:52,412 | INFO | root | 🚀 Aplicación iniciada
2025-09-24 10:33:52,755 | INFO | root | ✅ Modelo YOLO cargado exitosamente
2025-09-24 11:02:26,944 | INFO | root | 🚀 Aplicación iniciada
2025-09-24 11:02:27,277 | INFO | root | ✅ Modelo YOLO cargado exitosamente
2025-09-24 11:04:15,672 | INFO | root | 🚀 Aplicación iniciada
2025-09-24 11:04:15,928 | INFO | root | ✅ Modelo YOLO cargado exitosamente
2025-09-24 11:37:34,792 | INFO | root | 🚀 Aplicación iniciada
2025-09-24 11:37:35,135 | INFO | root | ✅ Modelo YOLO cargado exitosamente
